price,year,mileage,tax,steering,condition,owners,model,volume,power,transmission,engine,fuel,drive,acceleration,consumption,country,class,number seats,length,width,height,wheelbase,clearance,wheel size,fuel capacity,weight,gears,maximum speed,fuel consumption city/highway/combined,ecological,co2,engine capacity,boost type,cylinders,cylinder,compression,engine model,timing
2 655 000 ₽,2023,18 000 км,17 850 ₽ / год,Левый,Не требует ремонта,1 владелец,nan,2.0,238,Автомат,Бензиновый,АИ-92,Передний,6.5,7.11,США,E,5,4935,1875,1500,2945,nan,"235/45 R19, 235/50 R18, 235/55 R17",66,nan,8,220,-/-/7.11,Euro 6,nan,1999,Турбонаддув,4,4,10.1,CAF488WQC,DOHC
3 508 111 ₽,2021,30 000 км,14 940 ₽ / год,Левый,Не требует ремонта,1 владелец,Land,2.0,249,Автомат,Бензиновый,АИ-95,Полный,7.5,7.9,Великобритания,C,5,4371,1904,1649,2681,212,225/65 R17,67,2430,9,230,9.8/6.8/7.9,Euro 6,180,1998,Турбонаддув,4,4,10.5,Ingenium Si4,DOHC
1 850 000 ₽,2013,96 000 км,8 100 ₽ / год,Левый,Не требует ремонта,1 владелец,Chevrolet,2.8,180,Автомат,Дизельный,ДТ,Полный,12.5,9.8,США,J,7,4878,1902,1848,2845,255,"245/70 R16, 265/60 R18",77,2750,6,180,12.0/8.0/9.8,nan,nan,2776,Турбонаддув,4,4,16,nan,DOHC
5 721 824 ₽,2025,27 км,54 000 ₽ / год,Левый,Не требует ремонта,1 владелец,nan,nan,450,Автомат,Электро,nan,Полный,4.3,12.4,США,D,5,4797,1920,1624,2890,167,255/45 R19,nan,nan,1,201,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
399 000 ₽,2012,149 700 км,1 580 ₽ / год,Левый,Не требует ремонта,3 или более,Chevrolet,1.7,80,Механика,Бензиновый,АИ-95,Полный,19.0,10.8,США,J,5,4048,1770,1652,2450,200,"205/70 R15, 215/65 R16",58,1860,5,140,14.1/8.8/10.8,Euro 4,245,1690,нет,4,2,9.3,nan,SOHC
3 667 630 ₽,2021,36 000 км,13 200 ₽ / год,Левый,Не требует ремонта,1 владелец,nan,2.0,220,Робот,Бензиновый,АИ-95,Передний,9.3,8.2,Германия,M,7,5346,1976,1781,3180,nan,"235/50 R20, 235/55 R19",74,nan,7,200,10.4/6.6/8.2,Euro 6,nan,1984,Турбонаддув,4,4,9.6,nan,DOHC
580 000 ₽,2004,310 000 км,4 800 ₽ / год,Левый,Не требует ремонта,3 или более,Mitsubishi,2.4,160,Автомат,Бензиновый,АИ-95,Полный,11.2,10.1,Япония,D,5,4545,1750,1620,2625,195,"215/55 R17, 215/60 R16",60,2070,4,191,13.8/8.0/10.1,nan,nan,2378,нет,4,4,9.5,4g69,SOHC
2 500 000 ₽,2005,317 800 км,40 350 ₽ / год,Левый,Не требует ремонта,3 или более,Lexus,4.7,270,Автомат,Бензиновый,АИ-92,Полный,8.1,14.8,Япония,J,"5, 7",4890,1940,1850,2850,210,265/65 R17,87,2810,5,180,15.7/12.4/14.8,Euro 3,nan,4664,нет,8,4,10.4,nan,DOHC
3 644 598 ₽,2021,35 000 км,15 000 ₽ / год,Левый,Не требует ремонта,1 владелец,Land,2.0,250,Автомат,Бензиновый,АИ-95,Полный,6.7,7.6,Великобритания,D,5,4803,2032,1665,2874,213-251,235/65 R18,82,2470,8,217,9.1/6.7/7.6,Euro 6,173,1997,Турбонаддув,4,4,10.5,nan,DOHC
6 545 048 ₽,2025,17 км,40 080 ₽ / год,Левый,Не требует ремонта,1 владелец,Hyundai,2.5,334,Автомат,Гибридный,АИ-95,Полный,nan,nan,Южная Корея,E,"7, 9",5060,1980,1805,2970,nan,"245/60 R18, 245/50 R20",72,nan,6,nan,nan,nan,nan,2497,Турбонаддув,4,4,10.5,Smartstream G2.5T Hybrid,DOHC
