price,year,mileage,tax,steering,owners,model,volume,power,transmission,engine,fuel,drive,acceleration,consumption,country,class,number seats,length,width,height,wheelbase,clearance,wheel size,fuel capacity,weight,gears,maximum speed,ecological,co2,engine capacity,cylinders,cylinder,compression,fuel consumption city,fuel consumption highway,fuel consumption combined,log_price
6300000.0,2021.0,13800.0,37650.0,Левый,1.0,Porsche,2.0,252.0,Робот,Бензиновый,АИ-98,Полный,6.7,7.4,Германия,D,5.0,4686.0,1923.0,1624.0,2807.0,205.0,,65.0,2510.0,7.0,227.0,Euro 6,172.0,1984.0,4.0,4.0,9.6,8.6,6.6,7.4,15.656060350091908
4650000.0,2018.0,131000.0,45000.0,Левый,1.0,Land,3.0,300.0,Автомат,Дизельный,ДТ,Полный,6.5,6.4,Великобритания,D,5.0,4803.0,2032.0,1665.0,2874.0,213251.0,R18,66.0,2610.0,8.0,241.0,Euro 6,167.0,2993.0,6.0,4.0,16.1,7.4,5.8,6.4,15.35237799261728
1090000.0,2011.0,192300.0,3591.0,Левый,2.0,Nissan,1.6,117.0,Механика,Бензиновый,АИ-95,Передний,12.9,7.0,Япония,C,7.0,4541.0,1780.0,1645.0,2765.0,200.0,R17,65.0,2078.0,5.0,177.0,Euro 0,155.0,1598.0,4.0,4.0,10.7,8.9,5.9,7.0,13.901689171636098
895000.0,2008.0,310000.0,7965.0,Левый,3.0,BMW,2.0,177.0,Механика,Дизельный,ДТ,Полный,8.9,6.8,Германия,D,5.0,4569.0,1853.0,1674.0,2795.0,201.0,R17,67.0,2265.0,6.0,206.0,Euro 0,,1995.0,4.0,4.0,16.5,8.6,5.7,6.8,13.704580114574805
1320000.0,2013.0,156500.0,6840.0,Левый,2.0,Volkswagen,1.8,152.0,Робот,Бензиновый,АИ-95,Передний,8.5,7.3,Германия,E,4.0,4802.0,1885.0,1417.0,2711.0,154.0,R17,70.0,1960.0,7.0,222.0,Euro 0,,1798.0,4.0,4.0,9.6,9.8,5.8,7.3,14.093143052138025
1800000.0,2013.0,330000.0,8325.0,Левый,3.0,Toyota,2.7,185.0,Автомат,Бензиновый,АИ-95,Полный,9.4,10.0,Япония,D,5.0,4833.0,1905.0,1610.0,2775.0,205.0,R19,67.0,2340.0,6.0,180.0,Euro 0,,2672.0,4.0,4.0,10.0,13.3,8.0,10.0,14.403297778421795
2000100.0,2008.0,209000.0,18675.0,Левый,2.0,Toyota,4.0,249.0,Автомат,Бензиновый,АИ-92,Полный,9.5,12.3,Япония,J,5.0,4715.0,1875.0,1855.0,2790.0,220250.0,R17,87.0,2850.0,5.0,175.0,Euro 0,,3956.0,6.0,4.0,10.0,16.7,9.8,12.3,14.508708237249138
5700000.0,2020.0,57000.0,18600.0,Левый,1.0,Land,3.0,249.0,Автомат,Дизельный,ДТ,Полный,8.0,6.9,Великобритания,J,5.0,5000.0,2073.0,1869.0,2922.0,220.0,R21,86.0,3100.0,8.0,209.0,Euro 6,182.0,2993.0,6.0,4.0,16.1,7.8,6.4,6.9,15.555976908243359
1999999.0,2011.0,165000.0,45900.0,Левый,2.0,BMW,3.0,306.0,Автомат,Бензиновый,АИ-95,Полный,6.7,10.1,Германия,E,4.0,4877.0,1983.0,1690.0,2933.0,212.0,R19,85.0,2670.0,8.0,240.0,Euro 5,236.0,2979.0,6.0,4.0,10.2,13.2,8.3,10.1,14.508657738524219
649000.0,2015.0,100400.0,1778.0,Левый,3.0,Chevrolet,1.7,80.0,Механика,Бензиновый,АИ-95,Полный,19.0,10.8,США,J,5.0,4048.0,1770.0,1652.0,2450.0,200.0,R16,58.0,1860.0,5.0,140.0,Euro 4,245.0,1690.0,4.0,2.0,9.3,14.1,8.8,10.8,13.38318953651709
3500000.0,2023.0,11000.0,8865.0,Левый,1.0,Chery,2.0,197.0,Робот,Бензиновый,АИ-92,Полный,8.4,8.3,Китай,D,7.0,4720.0,1860.0,1705.0,2710.0,190.0,R18,57.0,2300.0,7.0,210.0,Euro 6,195.0,1998.0,4.0,4.0,,10.3,7.2,8.3,15.068273812173887
2250000.0,2023.0,18000.0,4694.0,Левый,1.0,Geely,1.5,150.0,Робот,Бензиновый,АИ-92,Передний,8.4,6.4,Китай,B,5.0,4330.0,1800.0,1609.0,2600.0,190.0,R17,45.0,1715.0,7.0,190.0,Euro 5,,1477.0,3.0,4.0,10.5,7.8,5.4,6.4,14.626441218624949
4990000.0,2019.0,68000.0,52950.0,Левый,1.0,BMW,3.0,360.0,Автомат,Бензиновый,АИ-95,Полный,4.8,9.2,Германия,D,5.0,4752.0,1918.0,1621.0,2864.0,209.0,,65.0,2430.0,8.0,250.0,Euro 6,210.0,2998.0,6.0,4.0,10.2,11.6,7.8,9.2,15.422946668128484
1390000.0,2014.0,216000.0,4725.0,Левый,2.0,Audi,1.4,150.0,Робот,Бензиновый,АИ-95,Передний,8.9,6.2,Германия,C,5.0,4385.0,1831.0,1608.0,2603.0,170.0,R17,64.0,2005.0,6.0,200.0,Euro 0,,1395.0,4.0,4.0,10.0,7.7,5.4,6.2,14.144815024531075
1850000.0,2017.0,175000.0,7695.0,Левый,1.0,Nissan,2.5,171.0,Вариатор,Бензиновый,АИ-95,Полный,10.5,8.3,Япония,D,5.0,4643.0,1820.0,1695.0,2706.0,210.0,R17,60.0,2070.0,,190.0,Euro 5,192.0,2488.0,4.0,4.0,10.0,11.3,6.6,8.3,14.430696737594902
1970000.0,2013.0,268000.0,18375.0,Левый,3.0,Volkswagen,3.0,245.0,Автомат,Дизельный,ДТ,Полный,7.6,7.4,Германия,E,5.0,4795.0,1940.0,1709.0,2893.0,195.0,R17,85.0,2860.0,8.0,220.0,Euro 5,189.0,2967.0,6.0,4.0,16.8,8.8,6.5,7.4,14.493544608328255
2190000.0,2018.0,145000.0,8055.0,Левый,3.0,Land,2.0,180.0,Автомат,Дизельный,ДТ,Полный,8.9,5.3,Великобритания,D,5.0,4599.0,2069.0,1724.0,2741.0,212.0,R20,65.0,,9.0,188.0,Euro 6,139.0,1999.0,4.0,4.0,15.5,6.3,4.7,5.3,14.599412558413583
3450000.0,2010.0,155000.0,55050.0,Левый,2.0,Lexus,5.7,367.0,Автомат,Бензиновый,АИ-95,Полный,7.5,14.8,Япония,J,5.0,4990.0,1970.0,1890.0,2850.0,225.0,R18,93.0,3856.0,6.0,220.0,Euro 5,,5663.0,8.0,4.0,10.2,19.6,13.7,14.8,15.053885078862573
2050000.0,2024.0,3160.0,4599.0,Левый,1.0,Omoda,1.5,147.0,Вариатор,Бензиновый,АИ-92,Передний,9.9,7.1,Китай,C,5.0,4400.0,1830.0,1588.0,2630.0,190.0,R18,52.0,1856.0,,195.0,Euro 6,,1498.0,4.0,4.0,9.5,9.5,5.8,7.1,14.53335083891935
1050000.0,2016.0,173650.0,3938.0,Левый,1.0,Volkswagen,1.4,125.0,Механика,Бензиновый,АИ-95,Передний,9.6,4.4,Германия,C,5.0,4659.0,1778.0,1482.0,2651.0,139.0,R16,55.0,1920.0,6.0,206.0,Euro 6,,1395.0,4.0,4.0,10.5,5.3,6.9,4.4,13.864301674514206
3050000.0,2015.0,85300.0,63000.0,Левый,1.0,Porsche,3.6,420.0,Автомат,Бензиновый,АИ-95,Полный,5.5,9.8,Германия,E,5.0,4855.0,1939.0,1705.0,2895.0,190245.0,R20,100.0,2860.0,8.0,259.0,Euro 6,229.0,3604.0,6.0,4.0,10.5,13.0,8.0,9.8,14.930652476452392
2300000.0,2013.0,160000.0,7650.0,Левый,2.0,Mercedes-Benz,2.1,170.0,Автомат,Дизельный,ДТ,Полный,8.8,6.5,Германия,D,5.0,4536.0,1840.0,1669.0,2755.0,200.0,R17,66.0,2450.0,7.0,205.0,Euro 5,168.0,2143.0,4.0,4.0,16.2,7.4,5.9,6.5,14.648420115681892
3111000.0,2016.0,218553.0,18300.0,Левый,2.0,Porsche,3.0,245.0,Робот,Дизельный,ДТ,Полный,6.3,6.3,Германия,D,5.0,4681.0,1923.0,1624.0,2807.0,205.0,,75.0,2575.0,7.0,230.0,Euro 6,164.0,2967.0,6.0,4.0,16.8,6.9,5.9,6.3,14.950455097319773
2820000.0,2018.0,126000.0,8100.0,Левый,2.0,Toyota,2.5,180.0,Автомат,Бензиновый,АИ-95,Полный,9.4,8.6,Япония,C,5.0,4605.0,1845.0,1670.0,2660.0,165.0,R17,60.0,2130.0,6.0,180.0,Euro 5,200.0,2494.0,4.0,4.0,10.4,11.6,6.9,8.6,14.852247797524162
2090000.0,2020.0,82000.0,3465.0,Левый,1.0,Volkswagen,1.6,110.0,Механика,Бензиновый,АИ-95,Передний,11.3,6.4,Германия,C,5.0,4702.0,1799.0,1459.0,2670.0,160.0,R16,50.0,1790.0,5.0,191.0,Euro 5,134.0,1598.0,4.0,4.0,10.5,8.8,5.0,6.4,14.55267510240978
1279000.0,2014.0,272000.0,7650.0,Левый,2.0,Volkswagen,2.0,170.0,Автомат,Бензиновый,АИ-95,Полный,9.9,9.9,Германия,C,5.0,4426.0,1809.0,1703.0,2604.0,200.0,R17,64.0,2220.0,6.0,197.0,Euro 5,199.0,1984.0,4.0,4.0,10.0,13.5,7.7,9.9,14.061589862421503
3378000.0,2023.0,52330.0,16500.0,Левый,2.0,Tank,2.0,220.0,Автомат,Бензиновый,АИ-92,Полный,10.6,10.7,Китай,J,5.0,4760.0,1930.0,1903.0,2750.0,224.0,R17,80.0,2552.0,8.0,175.0,Euro 0,,1967.0,4.0,4.0,,,,10.7,15.032794672382995
